name,Composition,Majority composition,Closest competing phase distance,Farthest competing phase distance,Stoichiometry complexity index,Formation energy,Normalized formation energy,Gradient difference,Normalized gradient difference,Decomposition energy,Normalized decomposition energy,Atomic radius ratio,Atomic mass_avg,Electronegativity_avg,Atomic radius_avg,Ionization energy_avg,Electron affinity_avg,Melting temperature_avg,Boiling temperature_avg,Density_avg,Latent heat_avg,Atomic number_avg,Mendeleev number_avg,Periodic table row_avg,Periodic table column_avg,Molar volume_avg,Valence electrons_avg,Valence electrons s_avg,Valence electrons p_avg,Valence electrons d_avg,Valence electrons f_avg,Unfilled electrons s_avg,Unfilled electrons p_avg,Unfilled electrons d_avg,Unfilled electrons f_avg,Lattice average_avg,Lattice sdev_avg,Angle sdev_avg,Atomic mass_max,Electronegativity_max,Atomic radius_max,Ionization energy_max,Electron affinity_max,Melting temperature_max,Boiling temperature_max,Density_max,Latent heat_max,Atomic number_max,Mendeleev number_max,Periodic table row_max,Periodic table column_max,Molar volume_max,Valence electrons_max,Valence electrons s_max,Valence electrons p_max,Valence electrons d_max,Valence electrons f_max,Unfilled electrons s_max,Unfilled electrons p_max,Unfilled electrons d_max,Unfilled electrons f_max,Lattice average_max,Lattice sdev_max,Angle sdev_max,Atomic mass_min,Electronegativity_min,Atomic radius_min,Ionization energy_min,Electron affinity_min,Melting temperature_min,Boiling temperature_min,Density_min,Latent heat_min,Atomic number_min,Mendeleev number_min,Periodic table row_min,Periodic table column_min,Molar volume_min,Valence electrons_min,Valence electrons s_min,Valence electrons p_min,Valence electrons d_min,Valence electrons f_min,Unfilled electrons s_min,Unfilled electrons p_min,Unfilled electrons d_min,Unfilled electrons f_min,Lattice average_min,Lattice sdev_min,Angle sdev_min,Atomic mass_dif,Electronegativity_dif,Atomic radius_dif,Ionization energy_dif,Electron affinity_dif,Melting temperature_dif,Boiling temperature_dif,Density_dif,Latent heat_dif,Atomic number_dif,Mendeleev number_dif,Periodic table row_dif,Periodic table column_dif,Molar volume_dif,Valence electrons_dif,Valence electrons s_dif,Valence electrons p_dif,Valence electrons d_dif,Valence electrons f_dif,Unfilled electrons s_dif,Unfilled electrons p_dif,Unfilled electrons d_dif,Unfilled electrons f_dif,Lattice average_dif,Lattice sdev_dif,Angle sdev_dif,Melting,CommonPair,Congruency
TcRu,0.5,0,0.25,0.25,2,-0.072204698,1,0.159977844,2.215615444,0.01999723,-0.27695193,1.009661836,99.00318,2.05,208,7.3205,0.17953,2518.5,4480.5,11.55,24.35,43.5,54.5,5,7.5,8.34E-06,7.5,2,0,5.5,0,0,6,4.5,14,0.359345,0.045474994,8.66025404,101.1,2.2,209,7.361,0.307,2607,4538,12.1,25.7,44,56,5,8,8.52E-06,8,2,0,6,0,0,6,5,14,0.3956,0.090949988,17.32050808,96.90636,1.9,207,7.28,0.05206,2430,4423,11,23,43,53,5,7,8.17E-06,7,2,0,5,0,0,6,4,14,0.32309,0,0,4.19364,0.3,2,0.081,0.25494,177,115,1.1,2.7,1,3,0,1,3.50E-07,1,0,0,1,0,0,0,1,0,0.07251,0.090949988,17.32050808,,,
Tc3Ru,0.25,0.25,0.25,0.25,4,-0.043966394,0.608913204,0.06291236,0.871305632,0.007864045,-0.108913204,1.009661836,97.95477,1.975,208.5,7.30025,0.115795,2474.25,4509.25,11.275,23.675,43.25,53.75,5,7.25,8.43E-06,7.25,2,0,5.25,0,0,6,4.75,14,0.3774725,0.022737497,4.33012702,101.1,2.2,209,7.361,0.307,2607,4538,12.1,25.7,44,56,5,8,8.52E-06,8,2,0,6,0,0,6,5,14,0.3956,0.090949988,17.32050808,96.90636,1.9,207,7.28,0.05206,2430,4423,11,23,43,53,5,7,8.17E-06,7,2,0,5,0,0,6,4,14,0.32309,0,0,4.19364,0.3,2,0.081,0.25494,177,115,1.1,2.7,1,3,0,1,3.50E-07,1,0,0,1,0,0,0,1,0,0.07251,0.090949988,17.32050808,,,
Te2Ru,0.333333333,0.166666667,0.333333333,0.666666667,3,-0.330863694,1,1.488886624,4.500000003,0.330863694,-1,1.004854369,118.7666667,2.133333333,206.3333333,8.460333334,0.97198,1350.773333,2314.999999,8.187999998,20.23333333,49.33333334,78.66666668,5,13.33333334,1.63E-05,6.666666666,2,2.666666668,8.666666668,0,0,3.333333332,1.333333332,14,0.437318889,0.086704539,17.32050808,127.6,2.2,207,9.01,1.30447,2607,4423,12.1,25.7,52,90,5,16,2.04E-05,8,2,4,10,0,0,6,4,14,0.494433333,0.090949988,17.32050808,101.1,2.1,206,7.361,0.307,722.66,1261,6.232,17.5,44,56,5,8,8.17E-06,6,2,0,6,0,0,2,0,14,0.32309,0.084581814,17.32050808,26.5,0.1,1,1.649,0.99747,1884.34,3162,5.868,8.2,8,34,0,8,1.22E-05,2,0,4,4,0,0,4,4,0,0.171343333,0.006368174,0,,,
ThRu,0.5,0,0.2,0.5,2,-0.535874953,1,1.694565516,3.162240568,0.242080788,-0.451748653,1.144927536,166.569,1.75,222,6.7205,0.8535,2315,4742,11.91,20.85,67,36,6,14,1.40E-05,6,2,0,3,1,0,6,7,13,0.41576,0.045474994,8.66025404,232.038,2.2,237,7.361,1.4,2607,5061,12.1,25.7,90,56,7,20,1.98E-05,8,2,0,6,2,0,6,10,14,0.50843,0.090949988,17.32050808,101.1,1.3,207,6.08,0.307,2023,4423,11.72,16,44,16,5,8,8.17E-06,4,2,0,0,0,0,6,4,12,0.32309,0,0,130.938,0.9,30,1.281,1.093,584,638,0.38,9.7,46,40,2,12,1.16E-05,4,0,0,6,2,0,0,6,2,0.18534,0.090949988,17.32050808,,,
Th7Ru3,0.3,0.2,0.2,0.3,10,-0.411311831,0.767551886,0.748223827,1.396265719,0.089786859,-0.167551886,1.144927536,192.7566,1.57,228,6.4643,1.0721,2198.2,4869.6,11.834,18.91,76.2,28,6.4,16.4,1.63E-05,5.2,2,0,1.8,1.4,0,6,8.2,12.6,0.452828,0.027284996,5.196152424,232.038,2.2,237,7.361,1.4,2607,5061,12.1,25.7,90,56,7,20,1.98E-05,8,2,0,6,2,0,6,10,14,0.50843,0.090949988,17.32050808,101.1,1.3,207,6.08,0.307,2023,4423,11.72,16,44,16,5,8,8.17E-06,4,2,0,0,0,0,6,4,12,0.32309,0,0,130.938,0.9,30,1.281,1.093,584,638,0.38,9.7,46,40,2,12,1.16E-05,4,0,0,6,2,0,0,6,2,0.18534,0.090949988,17.32050808,,,
TiRu,0.5,0,0.166666667,0.5,2,-0.788503042,1,2.850081845,3.614547685,0.356260231,-0.451818461,1.106951872,74.4835,1.87,197,7.0945,1.9598625,2274,3991.5,8.3,22.2,33,49.5,4.5,6,9.38E-06,6,2,0,4,0,0,6,6,14,0.337665,0.095167532,17.32050808,101.1,2.2,207,7.361,3.612725,2607,4423,12.1,25.7,44,56,5,8,1.06E-05,8,2,0,6,0,0,6,8,14,0.35224,0.099385075,17.32050808,47.867,1.54,187,6.828,0.307,1941,3560,4.5,18.7,22,43,4,4,8.17E-06,4,2,0,2,0,0,6,4,14,0.32309,0.090949988,17.32050808,53.233,0.66,20,0.533,3.305725,666,863,7.6,7,22,13,1,4,2.43E-06,4,0,0,4,0,0,0,4,0,0.02915,0.008435087,0,,,
Ti2Ru,0.333333333,0.166666667,0.166666667,0.333333333,3,-0.576323748,0.730908719,0.455895485,0.578178474,0.050655054,-0.064242053,1.106951872,65.61133332,1.76,193.6666667,7.005666666,2.510816668,2163,3847.666666,7.033333331,21.03333333,29.33333333,47.33333333,4.333333333,5.333333332,9.79E-06,5.333333332,2,0,3.333333332,0,0,6,6.666666668,14,0.342523333,0.096573379,17.32050808,101.1,2.2,207,7.361,3.612725,2607,4423,12.1,25.7,44,56,5,8,1.06E-05,8,2,0,6,0,0,6,8,14,0.35224,0.099385075,17.32050808,47.867,1.54,187,6.828,0.307,1941,3560,4.5,18.7,22,43,4,4,8.17E-06,4,2,0,2,0,0,6,4,14,0.32309,0.090949988,17.32050808,53.233,0.66,20,0.533,3.305725,666,863,7.6,7,22,13,1,4,2.43E-06,4,0,0,4,0,0,0,4,0,0.02915,0.008435087,0,,,
TmRu2,0.666666667,0.166666667,0.166666667,0.333333333,3,-0.366726964,0.90481995,0.868719877,2.143379552,0.096524431,-0.238153284,1.096618358,123.7114066,1.883333334,213.6666667,6.968666667,0.243333333,2344,3689.666667,11.17333333,22.73333334,52.33333333,49.66666667,5.333333333,15.66666666,1.15E-05,10.33333333,1.666666667,0,4.000000002,4.666666662,0.333333333,6,5.999999998,9.333333338,0.38406,0.060633325,11.54700539,168.93422,2.2,227,7.361,0.307,2607,4423,12.1,25.7,69,56,6,31,1.81E-05,15,2,0,6,14,1,6,10,14,0.506,0.090949988,17.32050808,101.1,1.25,207,6.184,0.116,1818,2223,9.32,16.8,44,37,5,8,8.17E-06,8,1,0,0,0,0,6,4,0,0.32309,0,0,67.83422,0.95,20,1.177,0.191,789,2200,2.78,8.9,25,19,1,23,9.93E-06,7,1,0,6,14,1,0,6,14,0.18291,0.090949988,17.32050808,,,
TmRu,0.5,0,0.166666667,0.166666667,2,-0.4053038,1,0.238111368,0.587488615,0.019842614,-0.048957385,1.096618358,135.01711,1.725,217,6.7725,0.2115,2212.5,3323,10.71,21.25,56.5,46.5,5.5,19.5,1.31E-05,11.5,1.5,0,3,7,0.5,6,7,7,0.414545,0.045474994,8.66025404,168.93422,2.2,227,7.361,0.307,2607,4423,12.1,25.7,69,56,6,31,1.81E-05,15,2,0,6,14,1,6,10,14,0.506,0.090949988,17.32050808,101.1,1.25,207,6.184,0.116,1818,2223,9.32,16.8,44,37,5,8,8.17E-06,8,1,0,0,0,0,6,4,0,0.32309,0,0,67.83422,0.95,20,1.177,0.191,789,2200,2.78,8.9,25,19,1,23,9.93E-06,7,1,0,6,14,1,0,6,14,0.18291,0.090949988,17.32050808,,,
Tm2Ru,0.333333333,0.166666667,0.166666667,0.333333333,3,-0.404195408,0.997265281,1.205935873,2.975387532,0.133992875,-0.330598615,1.096618358,146.3228134,1.566666666,220.3333333,6.576333333,0.179666667,2081,2956.333333,10.24666667,19.76666666,60.66666668,43.33333333,5.666666667,23.33333334,1.48E-05,12.66666667,1.333333333,0,1.999999998,9.333333338,0.666666667,6,8.000000002,4.666666662,0.44503,0.030316663,5.773502688,168.93422,2.2,227,7.361,0.307,2607,4423,12.1,25.7,69,56,6,31,1.81E-05,15,2,0,6,14,1,6,10,14,0.506,0.090949988,17.32050808,101.1,1.25,207,6.184,0.116,1818,2223,9.32,16.8,44,37,5,8,8.17E-06,8,1,0,0,0,0,6,4,0,0.32309,0,0,67.83422,0.95,20,1.177,0.191,789,2200,2.78,8.9,25,19,1,23,9.93E-06,7,1,0,6,14,1,0,6,14,0.18291,0.090949988,17.32050808,,,
